ticker,cik,company,sic_code,sic_description,target_sector
DSY,1999297,Big Tree Cloud Holdings Ltd,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),Manufacturing
TOMZ,314227,"TOMI Environmental Solutions, Inc.",2860,Industrial Organic Chemicals,Manufacturing
ASTC,1001907,ASTROTECH Corp,3826,Laboratory Analytical Instruments,Manufacturing
RECT,1995116,Rectitude Holdings Ltd.,3420,"Cutlery, Handtools & General Hardware",Manufacturing
SDST,1831979,Stardust Power Inc.,3330,Primary Smelting & Refining of  Nonferrous Metals,Manufacturing
KARX,1729637,Karbon-X Corp.,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
WNDW,1071840,"SolarWindow Technologies, Inc.",2860,Industrial Organic Chemicals,Manufacturing
WFF,1980210,WF Holding Ltd,3990,Miscellaneous Manufacturing Industries,Manufacturing
MGIH,1903995,Millennium Group International Holdings Ltd,2750,Commercial Printing,Manufacturing
NEWH,1371128,"NewHydrogen, Inc.",3081,Unsupported Plastics Film & Sheet,Manufacturing
GWTI,1572386,"GREENWAY TECHNOLOGIES, INC. & SUBSIDIARIES",2860,Industrial Organic Chemicals,Manufacturing
DOGZ,1707303,Dogness (International) Corp,3990,Miscellaneous Manufacturing Industries,Manufacturing
BNGO,1411690,"Bionano Genomics, Inc.",3826,Laboratory Analytical Instruments,Manufacturing
JBDI,1964314,JBDI Holdings Ltd,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing
HCAI,1958399,"Huachen AI Parking Management Technology Holding Co., Ltd",3990,Miscellaneous Manufacturing Industries,Manufacturing
CSDX,1106861,CS DIAGNOSTICS CORP.,2842,"Specialty Cleaning, Polishing and Sanitation Preparations",Manufacturing
HUDI,1791725,"Huadi International Group Co., Ltd.",3317,Steel Pipe & Tubes,Manufacturing
CABR,2020737,"Caring Brands, Inc.",2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
SFHG,1926792,SAMFINE CREATION HOLDINGS GROUP Ltd,2750,Commercial Printing,Manufacturing
MSAI,1863990,"MultiSensor AI Holdings, Inc.",3827,Optical Instruments & Lenses,Manufacturing
PUBC,1575858,Purebase Corp,2870,Agricultural Chemicals,Manufacturing
BNKK,1760903,"BONK, INC.",2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
BNET,875729,BION ENVIRONMENTAL TECHNOLOGIES INC,2870,Agricultural Chemicals,Manufacturing
LCTC,1493137,"Lifeloc Technologies, Inc",3826,Laboratory Analytical Instruments,Manufacturing
AQMS,1621832,"Aqua Metals, Inc.",3341,Secondary Smelting & Refining of  Nonferrous Metals,Manufacturing
HWKE,1750777,"Hawkeye Systems, Inc.",3861,Photographic Equipment & Supplies,Manufacturing
FGI,1864943,FGI Industries Ltd.,3430,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures",Manufacturing
PURE,1006028,"PURE BIOSCIENCE, INC.",2890,Miscellaneous Chemical Products,Manufacturing
CLNV,1391426,Clean Vision Corp,2860,Industrial Organic Chemicals,Manufacturing
NCL,1923780,Northann Corp.,3089,"Plastics Products, NEC",Manufacturing
SCND,87802,SCIENTIFIC INDUSTRIES INC,3826,Laboratory Analytical Instruments,Manufacturing
YCBD,1644903,"cbdMD, Inc.",2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
YHGJ,1042187,YUNHONG GREEN CTI LTD.,3060,"Fabricated Rubber Products, NEC",Manufacturing
QURT,1549631,"Quarta-Rad, Inc.",3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
MTEN,1948099,Mingteng International Corp Inc.,3442,"Metal Doors, Sash, Frames, Moldings & Trim",Manufacturing
SNES,1680378,"SenesTech, Inc.",2870,Agricultural Chemicals,Manufacturing
LUCY,1808377,Innovative Eyewear Inc,3851,Ophthalmic Goods,Manufacturing
JCSE,1905511,JE Cleantech Holdings Ltd,3990,Miscellaneous Manufacturing Industries,Manufacturing
CRE,2003977,Cre8 Enterprise Ltd,2750,Commercial Printing,Manufacturing
TANH,1588084,TANTECH HOLDINGS LTD,2860,Industrial Organic Chemicals,Manufacturing
DQWS,1652561,DSwiss Inc,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
APM,1734005,Aptorum Group Ltd,3829,"Measuring & Controlling Devices, NEC",Manufacturing
EVGN,1574565,Evogene Ltd.,2870,Agricultural Chemicals,Manufacturing
MWG,1941500,Multi Ways Holdings Ltd,3990,Miscellaneous Manufacturing Industries,Manufacturing
MITQ,1770236,MOVING iMAGE TECHNOLOGIES INC.,3861,Photographic Equipment & Supplies,Manufacturing
GURE,885462,"GULF RESOURCES, INC.",2800,Chemicals & Allied Products,Manufacturing
DSS,771999,"DSS, INC.",2650,Paperboard Containers & Boxes,Manufacturing
AREB,1648087,AMERICAN REBEL HOLDINGS INC,3490,Miscellaneous Fabricated Metal Products,Manufacturing
FMFC,2024656,Kandal M Venture Ltd,3100,Leather & Leather Products,Manufacturing
BASA,1448705,"BASANITE, INC.",3990,Miscellaneous Manufacturing Industries,Manufacturing
NWGL,1948294,CL Workshop Group Ltd,2400,Lumber & Wood Products (No Furniture),Manufacturing
WNW,1787803,Meiwu Technology Co Ltd,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",Manufacturing
POAS,2024258,PHAOS TECHNOLOGY HOLDINGS (CAYMAN) Ltd,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
CNEY,1780785,CN ENERGY GROUP. INC.,2860,Industrial Organic Chemicals,Manufacturing
HIHO,1026785,HIGHWAY HOLDINGS LTD,3490,Miscellaneous Fabricated Metal Products,Manufacturing
BYAH,1986247,"Park Ha Biological Technology Co., Ltd.",2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",Manufacturing
PLTYF,1433309,"Plastec Technologies, Ltd.",3089,"Plastics Products, NEC",Manufacturing
ITP,1358190,"IT TECH PACKAGING, INC.",2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),Manufacturing
VYST,1308027,Vystar Corp,3060,"Fabricated Rubber Products, NEC",Manufacturing
SOBR,1425627,"SOBR Safe, Inc.",2721,Periodicals: Publishing or  Publishing & Printing,Manufacturing
HGYN,1324759,HONG YUAN HOLDING GROUP,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",Manufacturing
FCUV,1590418,FOCUS UNIVERSAL INC.,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
BNRG,1901215,Brenmiller Energy Ltd.,3433,"Heating Equipment, Except Electric & Warm Air Furnaces",Manufacturing
XAGE,1842939,"Longevity Health Holdings, Inc.",2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",Manufacturing
HGAS,1817232,Global Gas Corp,2810,Industrial Inorganic Chemicals,Manufacturing
DDDX,1453122,"3DX Industries, Inc.",2750,Commercial Printing,Manufacturing
STAI,1994624,ScanTech AI Systems Inc.,3825,Instruments For Meas & Testing of  Electricity & Elec Signals,Manufacturing
